"SOCCER NUMBER","NAME","TEAM","POSITION","MATCHES PLAYED","GOALS","ASSISTS","YELLOW CARDS","RED CARDS","CYCLE RC","MINUTES PLAYED","NATIONALITY","AGE","HEIGHT","WEIGHT"
"8","Laura Moreno Moreno","Real Betis","DEL","10","1","0","0","0","5","330","Spain","22","1.63","54"
"7","Mariah Allison Lee","CD Sporting de Huelva","DEL","5","0","0","0","0","5","310","United States","26","1.64","54"
"23","Raquel Pinel Sáez","Alhama CF El Pozo","DEL","14","1","0","0","0","5","304","Spain","28","1.64","61"
"21","Rocío García Fernández","Villarreal CF","DEL","5","1","0","0","0","5","277","Spain","21","0","0"
"7","Nekane Díez Tapia","Athletic Club","DEL","9","2","0","0","0","5","268","Spain","31","1.69","55"
"6","Stefanie Além Da Eira","CD Sporting de Huelva","DEL","5","1","0","0","0","5","259","Portugal","30","1.78","65"
"16","Caroline Møller Hansen","Real Madrid","DEL","14","2","0","1","0","4","248","Denmark","24","1.75","63"
"9","Laura Gutiérrez Saénz de Sa...","Real Betis","DEL","11","0","0","1","0","4","244","Spain","22","0","0"
"22","Berglind Rós Ágústsdóttir","CD Sporting de Huelva","DEL","4","0","0","0","0","5","177","Iceland","27","0","0"
"16","Ornella Vignola","Deportivo Alavés","DEL","3","0","0","0","0","5","160","Spain","18","1.61","51"
"18","Trudi Sudan Carter","FC Levante Las Planas","DEL","4","0","0","0","0","5","145","Jamaica","28","1.57","52"
"2","Ode Fulutudilu","Real Betis","DEL","3","0","0","0","0","5","131","South Africa","33","1.68","60"
"19","Bruna Vilamala Costa","FC Barcelona","DEL","4","1","1","0","0","5","109","Spain","20","0","0"
"24","Charity Ogbenyealu Adule","Alhama CF El Pozo","DEL","5","0","0","0","0","5","86","Nigeria","29","1.61","53"
"22","Julia Aguado Fernández","Levante UD","DEL","12","3","0","0","0","5","85","Spain","22","0","0"
"29","Natalia Escot Borrego","FC Levante Las Planas","DEL","4","0","0","0","0","5","79","Spain","16","0","0"
"27","Elene Errasti Arriola","Deportivo Alavés","DEL","3","0","1","0","0","5","72","Spain","22","0","0"
"24","Therese Sessy Åsland","Madrid CFF","DEL","4","0","0","0","0","5","69","Norway","27","1.63","51"
"9","Giovanna Dos Santos Marce...","UDG Tenerife Egatesa","DEL","3","0","0","0","0","5","60","Brasil","20","1.78","70"
"12","Lucía Moral Ruiz","Atlético de Madrid","DEL","9","1","1","0","0","5","59","Spain","19","0","0"
"16","Laura Rueda","Villarreal CF","DEL","2","0","0","1","0","4","54","France","23","1.6","52"
"22","Ngozi Sonia Okobi-Okeoghe...","FC Levante Las Planas","DEL","2","0","0","0","0","5","48","Nigeria","29","1.65","55"
"18","Oriana Yoselin Altuve Manci...","Valencia Féminas CF","DEL","2","0","0","0","0","5","21","Venezuela","30","1.71","57"
"19","Linda Lizeth Caicedo Alegría","Real Madrid","DEL","1","0","0","0","0","5","16","Colombia","18","1.63","54"
"10","Leyre Monente Aicua","Athletic Club","DEL","1","0","0","1","0","4","11","Spain","23","1.67","64"
"22","Henriette Michèle Akaba Ed...","FC Levante Las Planas","DEL","2","0","0","0","0","5","7","France","30","1.65","65"
"12","Lorena Navarro Domínguez","Real Madrid","DEL","0","0","0","0","0","5","0","Spain","22","1.51","51"
"14","Silvia Meseguer Bellido","Sevilla FC","MED","20","2","1","4","0","1","1744","Spain","33","1.68","63"
"16","Sandra Castelló Oliver","CD Sporting de Huelva","MED","19","1","0","0","1","5","1697","Spain","29","1.71","58"
"23","Amanda Sampedro Busto","Sevilla FC","MED","20","2","5","2","0","3","1694","Spain","29","1.63","52"
"12","Leire Baños Indakoetxea","Levante UD","MED","19","0","1","4","0","1","1649","Spain","26","1.66","62"
"11","Caroline Weir","Real Madrid","MED","19","13","10","1","0","4","1598","Scotland","27","1.72","62"
"20","Ainoa Campo Franco","Villarreal CF","MED","19","0","2","2","0","3","1553","Spain","26","1.62","57"
"5","Marta Carro Nolasco","Valencia Féminas CF","MED","19","4","0","1","0","4","1539","Spain","32","1.77","68"
"6","Paula Fernández Jiménez","Levante UD","MED","19","0","4","1","0","4","1534","Spain","23","1.67","62"
"21","Anna Torrodà Ricard","Valencia Féminas CF","MED","20","1","1","2","0","3","1508","Spain","23","1.63","56"
"7","Ángela Sosa Martín","Real Betis","MED","19","6","3","2","0","3","1493","Spain","30","1.65","57"
"20","Ana González Rosa","Madrid CFF","MED","17","3","0","8","1","4","1481","Spain","27","1.61","60"
"10","Nuria Garrote Camuñez","FC Levante Las Planas","MED","18","0","0","9","1","3","1472","Spain","25","1.6","60"
"7","Andrea Carid Cao","Alhama CF El Pozo","MED","20","0","2","3","0","2","1468","Spain","29","1.6","54"
"10","Nerea Eizagirre Lasa","Real Sociedad","MED","19","3","12","1","0","4","1462","Spain","23","1.65","65"
"10","Fiamma Benítez Ianuzzi","Valencia Féminas CF","MED","19","1","6","1","0","4","1458","Spain","18","1.68","62"
"8","Laura Martínez González","FC Levante Las Planas","MED","19","3","0","1","0","4","1454","Spain","24","1.66","56"
"20","Elsa Amanda Edgren","CD Sporting de Huelva","MED","19","2","2","0","0","5","1435","Sueca","29","1.79","62"
"14","Miriam Diéguez de Oña","Deportivo Alavés","MED","18","1","0","1","0","4","1432","Spain","36","1.71","60"
"15","Grace Asantewaa","Real Betis","MED","19","1","3","4","0","1","1417","Ghana","22","1.59","55"
"12","Patricia Guijarro Gutiérrez","FC Barcelona","MED","20","2","8","0","0","5","1406","Spain","24","1.7","64"
"20","María Ángeles Carrión Egido","Real Betis","MED","18","1","1","6","0","4","1399","Spain","26","1.65","60"
"10","Leicy María Santos Herrera","Atlético de Madrid","MED","17","1","5","3","0","2","1356","Colombia","26","1.6","52"
"6","Paola Hernández Díaz","UDG Tenerife Egatesa","MED","20","1","0","0","0","5","1318","Spain","20","1.63","57"
"15","Clara Pinedo Castresana","Athletic Club","MED","19","5","1","2","0","3","1278","Spain","19","0","0"
"22","Patricia Gavira Collado","UDG Tenerife Egatesa","MED","14","0","0","5","1","2","1260","Spain","33","1.71","68"
"21","Claudia Zornoza Sánchez","Real Madrid","MED","18","2","3","0","0","5","1247","Spain","32","1.64","52"
"18","Klára Cahynová","Sevilla FC","MED","15","0","0","4","1","3","1225","Czech Republic","29","1.78","61"
"7","Maitane López Millán","Atlético de Madrid","MED","14","0","0","2","0","3","1214","Spain","27","1.75","61"
"19","Mariana Cerro Galán","Athletic Club","MED","19","0","2","2","0","3","1203","Spain","22","0","0"
"21","Gemma Gili Giner","Real Sociedad","MED","19","0","1","3","0","2","1196","Spain","28","1.66","58"
"23","Patrycja Balcerzak","CD Sporting de Huelva","MED","17","2","0","4","0","1","1196","Poland","29","1.65","60"
"22","Estefanía Romina Banini Ru...","Atlético de Madrid","MED","19","2","1","0","0","5","1162","Argentina","32","1.63","58"
"5","Eva Llamas Hernández","Sevilla FC","MED","16","0","1","3","0","2","1156","Spain","30","1.7","58"
"11","Tatiana Vanessa Ferreira Pi...","Levante UD","MED","19","10","2","5","0","2","1148","Portugal","28","1.67","56"
"18","Itxaso Uriarte Santamaría","Athletic Club","MED","20","0","0","3","0","2","1138","Spain","31","1.68","58"
"8","Iris Arnaiz Gil","Real Sociedad","MED","15","0","0","4","0","1","1114","Spain","28","1.68","59"
"11","Patrícia Hmírová","CD Sporting de Huelva","MED","17","2","2","1","0","4","1101","Slovenia","29","1.63","53"
"12","María Llompart Pons","Villarreal CF","MED","20","1","0","3","0","2","1082","Spain","22","1.61","55"
"6","Nagore Calderón Rodríguez","Sevilla FC","MED","19","0","1","1","0","4","1045","Spain","29","1.57","55"
"6"," Irene Guerrero San Martin","Atlético de Madrid","MED","15","0","1","0","0","5","1043","Spain","26","1.68","54"
"16","Gabriela Antonia García Seg...","Real Sociedad","MED","14","6","3","5","0","5","1041","Venezuela","25","1.85","68"
"19","Andreia de Jesús Jacinto","Real Sociedad","MED","18","1","0","0","0","5","1025","Portugal","20","1.71","63"
"14","Aitana Bonmatí Conca","FC Barcelona","MED","15","5","4","1","0","4","1023","Spain","25","1.61","51"
"3","Teresa Abelleira Dueñas","Real Madrid","MED","17","3","3","0","0","5","990","Spain","23","1.6","59"
"8","Maite Oroz Areta","Real Madrid","MED","19","3","5","0","0","5","956","Spain","24","1.55","49"
"21","Keira Fae Walsh","FC Barcelona","MED","17","1","0","0","0","5","941","England","25","1.67","57"
"12","Claire Elisabeth Falknor","UDG Tenerife Egatesa","MED","14","0","0","0","0","5","937","United States","29","1.63","66"
"10","Anna Sofia Ulrika Hagman","CD Sporting de Huelva","MED","15","1","1","3","0","2","912","Sweden","25","1.76","70"
"8","Marta Unzué Urdaniz","Athletic Club","MED","15","1","0","1","0","4","878","Spain","34","1.7","59"
"6","Gema Soliveres Cholbi","Deportivo Alavés","MED","17","0","1","2","0","3","876","Spain","22","0","0"
"5","Vanesa Santana","CD Sporting de Huelva","MED","11","0","0","5","0","5","821","Argentina","32","1.66","56"
"11","Carla Armengol Joaquinet","Deportivo Alavés","MED","18","1","1","0","0","5","811","Spain","24","1.64","55"
"17","Fatima Alexandra Figueira P...","Deportivo Alavés","MED","13","0","0","4","0","1","809","Portugal","27","1.7","63"
"6","Sandie Toletti","Real Madrid","MED","14","1","3","0","0","5","786","France","27","1.69","59"
"11","Claudia Iglesias de la Cruz","Villarreal CF","MED","16","1","0","6","1","1","782","Spain","19","1.64","59"
"6","María Cienfuegos Baragaño","Villarreal CF","MED","19","0","0","2","0","3","762","Spain","21","1.6","53"
"8","Estefanía Lima Díaz","Villarreal CF","MED","19","1","2","2","0","3","759","Spain","33","1.74","60"
"8","Karen Andrea Araya Ponce","Madrid CFF","MED","18","3","4","1","0","4","744","Chile","32","1.63","66"
"5","Yerliane Glamar Moreno Her...","UDG Tenerife Egatesa","MED","11","0","0","6","0","4","740","Venezuela","22","1.61","52"
"14","Nerea Vicente Fernández","Alhama CF El Pozo","MED","15","0","0","0","0","5","739","Spain","20","1.61","54"
"23","Noelia Salazar Franquis","Real Betis","MED","14","0","0","2","0","3","738","Spain","23","1.66","56"
"21","Estela Fernández Pablo","Madrid CFF","MED","13","0","2","2","0","3","720","Spain","31","1.69","62"
"23","Miku Ito","Deportivo Alavés","MED","13","0","0","0","0","5","677","Japan","23","0","0"
"12","Natalie Rose Muth","FC Levante Las Planas","MED","17","0","0","3","0","2","575","United States","24","1.7","64"
"18","Aldrith Ivana Quinteros Hu...","Alhama CF El Pozo","MED","7","0","0","3","0","2","574","Panama","21","180","64"
"23","Ingrid Syrstad Engen","FC Barcelona","MED","12","2","0","0","0","5","557","Norway","24","1.77","62"
"30","Ainhoa Alguacil Amores","Valencia Féminas CF","MED","14","0","2","0","0","5","547","Spain","18","0","0"
"17","Rosa Márquez Baena","Real Betis","MED","7","0","1","1","0","4","535","Spain","22","1.58","46"
"20","Jessica Emmanuella Aby","Deportivo Alavés","MED","14","1","0","7","1","5","529","Ivory Coast","24","1.77","-60"
"15","Sandra Hernández Rodrígue...","UDG Tenerife Egatesa","MED","7","0","1","0","0","5","507","Spain","25","1.66","60"
"17","Allegra Poljak","Real Sociedad","MED","9","0","1","0","0","5","434","Serbia","24","1.62","56"
"15","Aida Esteve Quintero","Madrid CFF","MED","12","0","5","1","0","4","383","Spain","21","0","0"
"17","Lina Yang","FC Levante Las Planas","MED","5","0","1","2","0","3","377","China","20","1.73","62"
"21","Silvia Doblado Peña","UDG Tenerife Egatesa","MED","11","0","0","2","0","3","351","Spain","35","1.66","55"
"12","Irene Oguiza Martínez","Athletic Club","MED","8","0","0","2","0","3","342","Spain","23","0","0"
"7","Iina Reetta Salmi","Valencia Féminas CF","MED","11","0","1","0","0","5","335","Finland","28","1.64","55"
"16","Almudena Rivero Vázquez","Sevilla FC","MED","10","0","0","0","0","5","331","Spain","21","1.62","55"
"24","Freja Siri Margareta Olofsso...","Real Madrid","MED","9","0","0","0","0","5","312","Sueca","24","1.74","69"
"8","Maite Zubieta Arambarri","Athletic Club","MED","8","0","0","0","1","5","280","Spain","18","0","0"
"10","Alba Aznar Marti","Deportivo Alavés","MED","6","0","0","0","0","5","215","Spain","29","1.53","52"
"23","María Pilar García Villalba","Villarreal CF","MED","3","0","0","0","0","5","202","Spain","32","1.61","57"
"8","Silvia Lloris Nicolás","Levante UD","MED","9","0","2","2","0","3","181","Spain","18","1.68","59"
"10","Tang Jiali","Madrid CFF","MED","4","0","0","0","0","5","120","China","27","1.66","59"
"7","Gisela Robledo Gil","UDG Tenerife Egatesa","MED","2","1","0","0","0","5","117","Colombia","19","1.58","58"
"8","Liced Serna","Valencia Féminas CF","MED","1","0","0","0","0","5","79","Colombia","21","1.72","64"
"21","Tyler Toland","Levante UD","MED","7","0","0","0","0","5","75","Ireland","21","0","0"
"12","Leire Peña Ruiz","Real Betis","MED","2","0","0","1","0","4","58","Spain","21","1.64","56"
"17","Bárbara Latorre Viñals","Atlético de Madrid","MED","5","1","0","0","0","5","56","Spain","29","1.64","54"
"18","Aminata Diallo","Levante UD","MED","3","0","0","0","0","5","55","France","27","1.63","57"
"14","Virginia Torrecilla Reyes","Atlético de Madrid","MED","4","0","0","0","0","5","32","Spain","28","1.73","63"
"17","Lee Young-ju","Madrid CFF","MED","1","0","0","0","0","5","26","South Korea","30","1.63","55"
"20","Silvia Masferrer Felip","FC Levante Las Planas","MED","1","0","0","0","0","5","12","Spain","28","0","0"
"29","Ylenia Estrella Gil","FC Levante Las Planas","MED","1","0","0","0","0","5","10","Spain","18","0","0"
"26","Eva Fuster González","FC Levante Las Planas","MED","1","0","0","0","0","5","8","Spain","20","0","0"
"12","Ángela Sanchís Micó","Valencia Féminas CF","MED","3","0","0","0","0","5","7","Spain","26","0","0"
"23","Merle Barth","Atlético de Madrid","MED","0","0","0","0","0","5","0","Germany","28","1.66","55"
"11","Alexia Putellas Segura","FC Barcelona","MED","0","0","0","0","0","5","0","Spain","29","1.73","67"
"18","Raissa Feudjio Tchuanyo","UDG Tenerife Egatesa","MED","0","0","0","0","0","5","0","Cameroon","27","1.63","60"
"6","Paula Guerrero Sanz","Valencia Féminas CF","MED","0","0","0","0","0","5","0","Spain","26","1.6","56"
"17","Alejandra Serrano Cortés","FC Levante Las Planas","MED","0","0","0","0","0","5","0","Spain","22","1.59","56"
"4","Lauren Eduarda Leal Costa","Madrid CFF","DEF","20","2","0","3","0","2","1800","Brasil","20","1.78","65"
"15","Patricia Ojeda Ramírez","CD Sporting de Huelva","DEF","20","1","1","4","0","1","1800","Spain","32","1.66","55"
"6","Oihane Valdezate Carboner...","Athletic Club","DEF","20","1","2","0","0","5","1794","Spain","22","1.8","70"
"23","Raquel Peña Rodríguez","UDG Tenerife Egatesa","DEF","20","2","5","3","0","2","1767","Spain","34","1.59","55"
"17","Nerea Nevado Gómez","Athletic Club","DEF","20","0","2","1","0","4","1716","Spain","21","1.6","55"
"11","Oihane Hernández Zurbano","Athletic Club","DEF","19","1","4","1","0","4","1705","Spain","22","1.65","59"
"4","Judith Caravaca Muñoz","Alhama CF El Pozo","DEF","19","0","0","6","0","4","1683","Spain","25","1.66","59"
"18","Paola Soldevila De la Pisa","Villarreal CF","DEF","19","0","0","2","1","5","1665","Spain","26","1.66","56"
"5","Mónica Hickmann Alves","Madrid CFF","DEF","18","1","1","1","0","4","1620","Brasil","35","1.72","64"
"4","Camila Alejandra Sáez Oyan...","Deportivo Alavés","DEF","19","1","1","2","0","3","1606","Chile","28","1.66","60"
"6","Aldana Cometti","Madrid CFF","DEF","18","1","0","7","0","3","1566","Argentina","27","1.66","56"
"14","Kathellen Sousa","Real Madrid","DEF","18","1","0","1","0","4","1546","Brasil","26","1.8","61"
"22","Manuela Vanegas","Real Sociedad","DEF","18","3","0","6","0","4","1537","Colombia","22","1.7","68"
"16","Itziar Pinillos Moreno","Madrid CFF","DEF","19","0","0","3","0","2","1513","Spain","22","1.64","54"
"5","Yenifer Yuliet Giménez Gam...","Villarreal CF","DEF","19","0","1","7","0","3","1509","Venezuela","26","1.71","60"
"22","Cristina Isabel Sánchez Auñ...","Deportivo Alavés","DEF","18","3","3","5","0","5","1508","Spain","33","1.54","51"
"21","Bibiana Schulze-Solano","Athletic Club","DEF","17","0","1","3","0","2","1499","Germany","24","1.74","62"
"2","Elba Vergés Prats","Deportivo Alavés","DEF","19","1","0","2","0","3","1460","Spain","27","1.7","58"
"21","Paula Perea Ramírez","Real Betis","DEF","19","0","1","4","0","1","1447","Spain","26","1.57","52"
"4","María Méndez Fernández","Levante UD","DEF","16","0","1","1","0","4","1440","Spain","21","1.7","59"
"2","Berta Pujadas Boix","Valencia Féminas CF","DEF","17","4","0","1","0","4","1438","Spain","22","1.72","66"
