"SOCCER NUMBER","NAME","TEAM","POSITION","MATCHES PLAYED","GOALS","ASSISTS","YELLOW CARDS","RED CARDS","CYCLE RC","MINUTES PLAYED","NATIONALITY","AGE","HEIGHT","WEIGHT"
"3","Ana Carolina Dias de Almeid...","CD Sporting de Huelva","DEF","10","0","0","0","0","5","801","Brasil","32","1.72","65"
"20","Arola Aparicio Gili","Sevilla FC","DEF","16","0","0","1","0","4","767","Spain","25","0","0"
"7","Rosa María Otermín Abella","Sevilla FC","DEF","14","1","1","3","1","4","765","Spain","22","1.67","60"
"2","Vaitiares Kenti Robles Salas","Real Madrid","DEF","11","1","0","1","0","4","722","Mexico","32","1.63","58"
"17","María de Alharilla Casado M...","Levante UD","DEF","12","1","0","0","0","5","686","Spain","32","1.61","50"
"5","Antonia Silva Da Costa","Levante UD","DEF","9","0","2","1","0","4","666","Brasil","29","1.67","61"
"2","Olivia María Oprea","Alhama CF El Pozo","DEF","12","0","1","2","0","3","666","Romania","35","1.65","55"
"3","Thais Cristina Da Silva Ferre...","UDG Tenerife Egatesa","DEF","7","0","0","1","1","4","630","Brasil","26","1.65","59"
"18","Lucía Rodríguez Herrero","Real Madrid","DEF","9","0","1","0","0","5","622","Spain","23","1.64","57"
"6","Ane Etxezarreta Ayerbe","Real Sociedad","DEF","12","0","0","0","0","5","598","Spain","27","1.66","61"
"5","Maddi Torre Larrañaga","Real Sociedad","DEF","11","0","1","0","0","5","587","Spain","26","1.72","61"
"23","Nerea Ganchegui Moso","FC Levante Las Planas","DEF","12","0","0","2","1","5","583","Spain","28","0","0"
"15","Francisca Lara Lara","Villarreal CF","DEF","8","0","1","0","0","5","551","Chile","32","1.65","58"
"15","Linda Bakker","Valencia Féminas CF","DEF","8","1","0","0","0","5","482","Netherlands","30","0","0"
"22","Morgane Nicoli","Sevilla FC","DEF","12","0","1","1","1","4","477","France","25","1.75","62"
"3","Laia Codina Panedas","FC Barcelona","DEF","9","0","0","2","0","3","476","Spain","23","1.66","55"
"14","Izarne Sarasola Beain","Real Sociedad","DEF","8","1","1","0","0","5","473","Spain","21","1.58","54"
"22","Matilde Mota Veiga Santiag...","Real Betis","DEF","8","0","0","1","0","4","465","Portugal","28","1.59","54"
"16","Estela Carbonell Nuñez","Levante UD","DEF","8","0","2","0","0","5","462","Spain","19","1.68","60"
"30","Alba María Lopez Montiel","Villarreal CF","DEF","6","0","0","0","0","5","404","Spain","21","0","0"
"20","Lucía Ramirez Espinosa","Alhama CF El Pozo","DEF","5","0","0","0","0","5","378","Spain","28","1.72","63"
"14","Eunate Arraiza Otazu","Athletic Club","DEF","12","0","0","3","0","2","363","Spain","31","1.64","69"
"3","Naia Landaluze Markinez","Athletic Club","DEF","7","0","0","2","0","3","327","Spain","22","0","0"
"14","Lucía Marte León","Real Betis","DEF","9","0","0","0","0","5","324","Spain","25","1.69","58"
"4","Michaela Specht","Real Sociedad","DEF","5","0","0","0","0","5","324","Germany","26","1.68","60"
"5","Sonia García Majarín","Atlético de Madrid","DEF","8","0","0","0","0","5","322","Spain","20","1.7","64"
"3","Cristina Cubedo Pitarch","Villarreal CF","DEF","4","0","0","0","0","5","275","Spain","23","1.77","79"
"19","Javiera Paz Toro Ibarra","UDG Tenerife Egatesa","DEF","9","0","0","1","0","4","273","Chile","24","1.59","63"
"5","María Valle López","Real Betis","DEF","3","0","0","1","0","4","269","Spain","18","0","0"
"2","Xenia Pérez Almiñana","Atlético de Madrid","DEF","7","0","0","1","0","4","257","Spain","21","1.71","62"
